Topic,Title,Authors,Publication,Date,Citations,Volume,Issue,Pages,DOI,Abstract
artificial intelligence,Perspectives on label-free microscopy of heterogeneous and dynamic biological systems,Pham D.L.,Journal of biomedical optics,2025-12-01,0,29,No issue available,S22702,10.1117/1.JBO.29.S2.S22702,No abstract available
artificial intelligence,Autoencoder-based image denoiser suitable for image of numbers with high potential for hardware implementation,Maghraby M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,44,2,234-246,10.37934/araset.44.2.234246,No abstract available
artificial intelligence,An Artificial Intelligence Approach to Monitor and Predict Student Academic Performance,Haron N.H.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0,44,1,105-119,10.37934/araset.44.1.105119,No abstract available
artificial intelligence,Research on entertainment robots based on artificial intelligence interaction for human posture recognition and sports activity monitoring,Xiaochun C.,Entertainment Computing,2025-01-01,0,52,No issue available,,10.1016/j.entcom.2024.100761,No abstract available
artificial intelligence,Application of E-Learning entertainment learning based on intelligent interactive experience in English reading assistance mode,Chen H.,Entertainment Computing,2025-01-01,0,52,No issue available,,10.1016/j.entcom.2024.100762,No abstract available
artificial intelligence,Efficient and easily recyclable photocatalytic reduction of Se(IV) from wastewater using stable TiO<inf>2</inf>/BiOBr/cloth: Mechanism insight and machine learning modeling,Liang Y.,Separation and Purification Technology,2025-01-01,0,352,No issue available,,10.1016/j.seppur.2024.128021,No abstract available
artificial intelligence,Modified Levey-Jennings Chart with Robust Estimator: A Case of Semiconductor Manufacturing Process,Dahari S.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-01-01,0,43,2,189-202,10.37934/araset.43.2.189202,No abstract available
artificial intelligence,Molecular Networking: Statistical Mechanics in the Age of AI and Machine Learning,Desgranges C.,Molecular Networking: Statistical Mechanics in the Age of AI and Machine Learning,2025-01-01,0,No volume available,No issue available,1-236,10.1201/9781003006411,No abstract available
artificial intelligence,Virtual Reality Technology and Artificial Intelligence for Television and Film Animation,Shiva Krishna Reddy V.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-01-01,0,43,1,263-273,10.37934/araset.43.1.263273,No abstract available
artificial intelligence,Machine learning approaches to predict adsorption performance of sugarcane derived-carbon dot −based composite in the removal of dyes,Momina M.,Separation and Purification Technology,2024-12-24,0,351,No issue available,,10.1016/j.seppur.2024.127937,No abstract available
artificial intelligence,"Optimizing Eriochrome Black T adsorption through In-Situ polymerization of Poly(aniline-co-formaldehyde) on biochar: Multivariate approach using full factorial Design, Box-Behnken, Artificial intelligence, and DFT",Bouzid T.,Separation and Purification Technology,2024-12-24,1,351,No issue available,,10.1016/j.seppur.2024.128107,No abstract available
artificial intelligence,AI-Enhanced Teaching Materials for Education: A Shift Towards Digitalization,Syahrizal S.,International Journal of Religion,2024-12-10,1,5,1,203-217,10.61707/j6sa1w36,No abstract available
artificial intelligence,Diabetes and its associated factors: A Retrospective cohort analysis of a large database at Indus Hospital Health Network,Amin F.,Pakistan Journal of Medical Sciences,2024-12-05,2,40,2,S10-S14,10.12669/pjms.40.2(ICON).8948,No abstract available
artificial intelligence,Can AI provide useful holistic essay scoring?,Tate T.P.,Computers and Education: Artificial Intelligence,2024-12-01,0,7,No issue available,,10.1016/j.caeai.2024.100255,No abstract available
artificial intelligence,Simulated deep CT characterization of liver metastases with high-resolution filtered back projection reconstruction,Wiedeman C.,"Visual Computing for Industry, Biomedicine, and Art",2024-12-01,0,7,1,,10.1186/s42492-024-00161-y,No abstract available
artificial intelligence,Utilization of machine learning for dengue case screening,Bohm B.C.,BMC Public Health,2024-12-01,0,24,1,,10.1186/s12889-024-19083-8,No abstract available
artificial intelligence,Towards human-AI collaboration in the competency-based curriculum development process: The case of industrial engineering and management education,Padovano A.,Computers and Education: Artificial Intelligence,2024-12-01,0,7,No issue available,,10.1016/j.caeai.2024.100256,No abstract available
artificial intelligence,Key traits of top answerers on Korean Social Q&amp;A platforms: insights into user performance and entrepreneurial potential,Jang M.,Humanities and Social Sciences Communications,2024-12-01,0,11,1,,10.1057/s41599-024-03239-3,No abstract available
artificial intelligence,Artificial intelligence-driven computer aided diagnosis system provides similar diagnosis value compared with doctors’ evaluation in lung cancer screening,Gao S.,BMC Medical Imaging,2024-12-01,0,24,1,,10.1186/s12880-024-01288-3,No abstract available
artificial intelligence,"Artificial intelligence-based epigenomic, transcriptomic and histologic signatures of tobacco use in oral squamous cell carcinoma",Viet C.T.,npj Precision Oncology,2024-12-01,0,8,1,,10.1038/s41698-024-00605-x,No abstract available
artificial intelligence,Preliminary study on AI-assisted diagnosis of bone remodeling in chronic maxillary sinusitis,Zou C.,BMC Medical Imaging,2024-12-01,0,24,1,,10.1186/s12880-024-01316-2,No abstract available
artificial intelligence,Machine learning in infectious diseases: potential applications and limitations,Al Meslamani A.Z.,Annals of medicine,2024-12-01,0,56,1,2362869,10.1080/07853890.2024.2362869,No abstract available
artificial intelligence,A Bibliometric Analysis of the Spatial Transcriptomics Literature from 2006 to 2023,Zhao S.H.,Cellular and Molecular Neurobiology,2024-12-01,0,44,1,,10.1007/s10571-024-01484-3,No abstract available
artificial intelligence,Can artificial intelligence help for scientific illustration? Details matter,Klug J.,Critical Care,2024-12-01,0,28,1,,10.1186/s13054-024-04970-8,No abstract available
artificial intelligence,Mitigating machine learning bias between high income and low–middle income countries for enhanced model fairness and generalizability,Yang J.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-64210-5,No abstract available
machine learning,"Authentication, access control and scalability models in Internet of Things Security–A review",Kokila M.,Cyber Security and Applications,2025-12-01,0,3,No issue available,,10.1016/j.csa.2024.100057,No abstract available
