Title,Authors,Publication,Date,Citations
Impact of the COVID-19 pandemic on the treatment of acute cholangitis caused by choledocholithiasis: A single-center retrospective study in Japan,Hanatani J.i.,DEN Open,2025-04-01,0
Modelling and Forecasting the COVID-19 Mortality Rates in Malaysia by using ARIMA Model,Nor S.R.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0
Exploration of the Challenges in Adopting Smart Farming Among Smallholder Farmers: A Qualitative Study,Ahmad D.S.N.A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0
Acceptance of Unified Communications and Collaboration Applications Among Students: A Case Study of University in Sumbawa Island Indonesia,Fahmi R.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0
Exploring the HONO source during the COVID-19 pandemic in a megacity in China,Wang M.,Journal of Environmental Sciences (China),2025-03-01,0
Airborne fungal communities are more susceptible to anthropogenic activities than bacteria,Pan Y.,Journal of Environmental Sciences (China),2025-03-01,0
"Estimation of gaseous polycyclic aromatic hydrocarbons (PAHs) and characteristics of atmospheric PAHs at a traffic site in Kanazawa, Japan",Zhang X.,Journal of Environmental Sciences (China),2025-03-01,1
Analysing Malaysian Technology Sector during COVID-19: A Minimum Spanning Tree Approach,Bahaludin H.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0
A Comprehensive Analysis and Assessment of Vitamin D with Inflammatory Biomarkers Levels Among Acute COVID-19 Infected Patients,Gharib A.,Egyptian Journal of Veterinary Science(Egypt),2025-02-01,0
Exploring Students’ Creativity Using STEAM-Based Reading Texts,Yulianti E.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0
Robust Segmentation of COVID-19 Chest X-Ray Images: Analysis of Variant k-Means Based Clustering Algorithms,Herng O.W.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0
Differentiated politicization of discourses on Twitter in response to COVID-19: a comparison of local governments in Colombia,Barreto-Galeano M.I.,Revista Latina de Comunicacion Social,2025-01-01,0
The Role of Islamic Faith in Coping with the COVID-19 Pandemic,Iqbal C.,International Journal of Religion and Spirituality in Society,2025-01-01,0
The Readiness of the Malaysian Construction Industry for E-tendering After COVID-19 Pandemic,Lin L.Y.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-01-01,0
Presentation: Global crises and local responses to COVID-19 and climate change: Reflections from Latin American history and society,Delgado J.C.G.,"Clio. Revista de Historia, Ciencias Humanas y Pensamiento Critico.",2024-12-31,0
Elementary Preservice Teachers’ Coding and Perceptions of Questions Posed during Mathematics Practicum Lessons,Silva Mangiante E.M.,"International Journal of Science, Mathematics and Technology Learning",2024-12-30,0
Student perspectives on peer education using a virtual platform to enhance advanced pharmacy practice experiences (APPE),Davydova M.,Pharmacy Education,2024-12-30,0
Assessing the quantity of neuropeptide Y in the serum of patients referred to Baqiyatallah Hospital with covid-19 concerning inflammatory factors following steroid therapy,Mousavi N.,Acta neurologica Taiwanica,2024-12-30,0
The effect of 5A self-management program on medication adherence of epileptic patients during the COVID - 19 pandemic: A randomized controlled trial,Moosavimoghadam S.F.,Acta neurologica Taiwanica,2024-12-30,0
Recent progress on the application of MOFs and their derivatives in adsorbing emerging contaminants,Shen Y.,Separation and Purification Technology,2024-12-18,0
Post-COVID-19 neuropsychiatric manifestations: A suggested therapeutic approach to 'long COVID' with azithromycin,Schwartz R.A.,Epidemiology and Infection,2024-12-15,0
Impact of COVID-19 program adaptations on costs and cost-effectiveness of community management of acute malnutrition program in South Sudan,Alier K.K.,Public Health Nutrition,2024-12-14,0
The impact of distance learning on the attitudes of nursing students: An online survey study,Çağlar S.,Acta Scientiarum - Health Sciences,2024-12-14,0
Complex association between post-COVID-19 condition and anxiety and depression symptoms,Tebeka S.,European Psychiatry,2024-12-13,0
Application of regression decision tree and machine learning algorithms to examine students’ online learning preferences during COVID-19 pandemic,Kooptiwoot S.,International Journal of Education and Practice,2024-12-12,0
